vehicle;ramp;hf_lf_he;air_conditioner;place_for_transp_bicycles;voice_announcement_sys;ticket_machine;ticket_sales_by_the_driver;usb_charger
7037;1;1;1;1;1;0;1;1
7038;1;1;1;1;1;0;1;1
8001;1;0;1;0;1;0;1;1
8002;1;1;1;1;1;0;1;1
8006;1;1;1;0;1;0;1;1
8008;1;1;0;0;1;0;1;1
8010;1;0;1;1;1;0;1;1
8011;1;0;0;0;1;0;1;1
8015;1;1;1;1;1;0;1;1
8017;1;1;1;1;1;0;1;1
8018;1;1;1;0;1;0;1;1
8022;1;0;1;0;1;0;1;1
8024;0;0;1;1;1;0;1;1
8025;1;0;1;0;1;0;1;1
8026;1;0;1;0;1;0;1;1
8027;1;0;1;1;1;0;1;1
8028;1;1;1;1;1;0;1;1
8029;1;0;1;0;1;0;1;1
8030;1;0;1;1;1;0;1;1
8031;1;0;1;0;1;0;1;1
8032;1;0;1;0;1;0;1;1
8033;1;0;1;0;1;0;1;1
8034;1;0;1;0;1;0;1;1
8035;1;0;1;1;1;0;1;1
8036;1;0;1;0;1;0;1;1
8037;1;1;1;1;1;0;1;1
8038;1;0;1;0;1;0;1;1
8039;1;1;1;0;1;0;1;1
8040;1;1;1;0;1;0;1;1
8041;1;1;1;0;1;0;1;1
8042;1;1;1;0;1;0;1;1
8043;1;1;1;0;1;0;1;1
8044;1;1;1;0;1;0;1;1
8045;1;1;1;0;1;0;1;1
8046;1;1;1;0;1;0;1;1
8047;1;1;1;0;1;0;1;1
8048;1;1;1;0;1;0;1;1
8310;1;1;1;0;0;0;1;1
8311;1;1;0;0;0;0;1;0
8312;1;1;1;1;0;0;1;1
8313;1;1;1;1;0;0;1;1
8314;1;1;1;1;0;0;1;1
8315;1;1;1;1;0;0;1;1
8316;1;1;1;0;0;0;1;1
8317;1;1;1;0;0;0;1;1
8318;1;1;1;0;0;0;1;1
8319;1;1;1;1;0;0;1;1
8320;1;1;1;0;0;0;1;1
8321;1;1;0;0;0;0;1;1
8322;1;1;0;0;0;0;1;1
9102;1;1;1;1;1;0;1;0
9103;1;1;1;1;1;0;1;0
9104;1;1;1;1;1;0;1;0
9105;1;1;1;0;0;0;1;0
9106;1;1;0;0;0;0;1;0
9107;1;1;1;1;1;0;1;0
9108;1;1;1;0;1;0;1;0
9109;1;1;1;0;1;0;1;0
9110;1;1;1;0;0;0;1;0
9111;1;1;1;0;0;0;1;0
9112;1;1;1;0;0;0;1;0
9113;0;1;0;0;0;0;1;0
9114;0;1;0;0;0;0;1;0
9115;1;1;1;1;1;0;1;1
9116;1;1;1;0;1;0;1;0
9118;0;1;1;0;0;0;1;0
9119;1;1;1;0;0;0;1;0
9120;1;1;1;0;0;0;1;0
9121;1;1;1;0;0;0;1;0
9122;1;1;1;0;1;0;1;0
9123;0;1;0;0;0;0;1;0
9124;1;1;1;0;0;0;1;0
