vehicle;ramp;hf_lf_he;air_conditioner;place_for_transp_bicycles;voice_announcement_sys;ticket_machine;ticket_sales_by_the_driver;usb_charger
1287;1;1;1;1;1;0;0;1
1288;1;1;1;1;1;0;0;1
1289;1;1;1;1;1;0;0;1
1290;1;1;1;1;1;0;0;1
1291;1;1;1;1;1;0;0;1
1292;1;1;1;1;1;0;0;1
1293;1;1;1;1;1;0;0;1
1407;1;1;1;0;1;1;0;0
1408;1;1;1;0;1;1;0;0
1450;1;1;1;1;1;1;0;0
1451;1;1;1;1;1;1;0;0
1452;1;1;1;1;1;1;0;0
1453;1;1;1;1;1;1;0;0
1454;1;1;1;1;1;1;0;0
1455;1;1;1;1;1;1;0;0
1456;1;1;1;1;1;1;0;0
1457;1;1;1;1;1;1;0;0
1458;1;1;1;1;1;1;0;0
1459;1;1;1;1;1;1;0;0
1460;1;1;1;1;1;1;0;0
1461;1;1;1;1;1;1;0;0
1462;1;1;1;1;1;1;0;0
1463;1;1;1;1;1;0;0;0
1464;1;1;1;1;1;0;0;0
1465;1;1;1;1;1;0;0;0
1466;1;1;1;1;1;0;0;0
1467;1;1;1;1;1;0;0;0
1468;1;1;1;1;1;0;0;0
1469;1;1;1;1;1;0;0;0
1470;1;1;1;1;1;0;0;0
1471;1;1;1;1;1;0;0;0
1472;1;1;1;1;1;0;0;0
1473;1;1;1;1;1;0;0;0
1474;1;1;1;1;1;0;0;0
1475;1;1;1;1;1;0;0;0
1476;1;1;1;1;1;0;0;0
1477;1;1;1;1;1;0;0;0
1478;1;1;1;1;1;0;0;0
1479;1;1;1;1;1;0;0;0
1480;1;1;1;1;1;0;0;0
1481;1;1;1;1;1;0;0;1
1482;1;1;1;1;1;0;0;1
1483;1;1;1;1;1;0;0;1
1484;1;1;1;1;1;0;0;1
1493;1;1;1;0;1;0;0;0
1605;0;1;0;1;1;0;0;0
1610;0;1;0;1;1;0;0;0
1611;0;1;0;1;1;0;0;0
1612;0;1;0;1;1;0;0;0
1614;0;1;0;1;1;0;0;0
1615;0;1;0;1;1;0;0;0
1616;0;1;0;1;1;0;0;0
1617;0;1;0;1;1;0;0;0
1618;0;1;0;1;1;0;0;0
1619;0;1;0;1;1;0;0;0
1620;0;1;0;1;1;0;0;0
1621;0;1;0;1;1;0;0;0
1622;0;1;0;1;1;0;0;0
1623;0;1;0;1;1;0;0;0
1624;0;1;0;1;1;0;0;0
1625;1;1;1;1;1;1;0;0
1626;1;1;1;1;1;0;0;0
1627;1;1;1;1;1;0;0;0
1628;1;1;1;1;1;0;0;0
1629;1;1;1;1;1;0;0;0
1630;1;1;1;1;1;1;0;0
1631;1;1;1;1;1;1;0;0
1632;1;1;1;1;1;1;0;0
1633;1;1;1;1;1;1;0;0
1634;1;1;1;1;1;1;0;0
1635;1;1;1;1;1;1;0;0
1636;1;1;1;1;1;1;0;0
1637;1;1;1;1;1;1;0;0
1638;1;1;1;1;1;1;0;0
1639;1;1;1;1;1;1;0;0
1640;1;1;1;1;1;1;0;0
1641;1;1;1;1;1;1;0;0
1642;1;1;1;1;1;1;0;0
1643;1;1;1;1;1;1;0;0
1644;1;1;1;1;1;1;0;0
1645;1;1;1;1;1;1;0;0
1646;1;1;1;1;1;1;0;0
1647;1;1;1;1;1;1;0;0
1648;1;1;1;1;1;1;0;0
1649;1;1;1;1;1;1;0;0
1650;1;1;1;1;1;1;0;0
1651;1;1;1;1;1;1;0;0
1652;1;1;1;1;1;1;0;0
1653;1;1;1;1;1;1;0;0
1654;1;1;1;1;1;1;0;0
1655;1;1;1;1;1;1;0;0
1656;1;1;1;1;1;1;0;0
1657;1;1;1;1;1;0;0;0
1658;1;1;1;1;1;0;0;0
1659;1;1;1;1;1;0;0;0
1660;1;1;1;1;1;0;0;0
1661;1;1;1;1;1;0;0;0
1662;1;1;1;1;1;0;0;1
1663;1;1;1;1;1;0;0;1
1664;1;1;1;1;1;0;0;1
1665;1;1;1;1;1;0;0;1
1666;1;1;1;1;1;0;0;1
1667;1;1;1;1;1;0;0;1
1668;1;1;1;1;1;0;0;1
1669;1;1;1;1;1;0;0;1
1670;1;1;1;1;1;0;0;1
1671;1;1;1;1;1;0;0;1
1672;1;1;1;1;1;0;0;1
1673;1;1;1;1;1;0;0;1
1674;1;1;1;1;1;0;0;1
1675;1;1;1;1;1;0;0;1
1676;1;1;1;1;1;0;0;1
1751;1;1;1;0;1;1;0;0
1752;1;1;1;0;1;1;0;0
1753;1;1;1;0;1;1;0;0
1754;1;1;1;0;1;1;0;0
1755;1;1;1;0;1;1;0;0
1756;1;1;1;0;1;1;0;0
1757;1;1;1;0;1;1;0;0
1758;1;1;1;0;1;1;0;0
1759;1;1;1;0;1;1;0;0
1760;1;1;1;0;1;1;0;0
1761;1;1;1;0;1;1;0;0
1762;1;1;1;0;1;1;0;0
1763;1;1;1;0;1;1;0;0
1764;1;1;1;0;1;1;0;0
1765;1;1;1;0;1;1;0;0
1766;1;1;1;0;1;1;0;0
1767;1;1;1;0;1;1;0;0
1768;1;1;1;0;1;1;0;0
1769;1;1;1;0;1;1;0;0
1770;1;1;1;0;1;1;0;0
1771;1;1;1;0;1;1;0;0
1772;1;1;1;0;1;1;0;0
1773;1;1;1;0;1;1;0;0
1774;1;1;1;0;1;1;0;0
1806;1;1;0;1;1;0;0;0
1809;0;1;0;1;1;0;0;0
1810;0;1;0;1;1;0;0;0
1811;0;1;0;1;1;0;0;0
1814;1;1;1;1;1;0;0;0
1815;1;1;1;1;1;0;0;0
1816;1;1;1;1;1;0;0;0
1817;1;1;1;1;1;0;0;0
1818;1;1;1;1;1;0;0;0
1819;1;1;1;1;1;0;0;0
1820;1;1;1;1;1;0;0;0
1821;1;1;1;1;1;0;0;0
1822;1;1;1;1;1;0;0;0
1823;1;1;1;1;1;0;0;0
1824;1;1;1;1;1;0;0;0
1825;1;1;1;1;1;0;0;0
1826;1;1;1;1;1;0;0;0
1828;1;1;1;1;1;0;0;0
1829;1;1;1;1;1;0;0;0
1830;1;1;1;1;1;0;0;0
1831;1;1;1;1;1;0;0;0
1833;1;1;1;1;1;0;0;0
1834;1;1;1;1;1;0;0;0
1835;1;1;1;1;1;0;0;0
1836;1;1;1;1;1;0;0;0
1837;1;1;1;1;1;0;0;0
1838;1;1;1;1;1;0;0;0
1839;1;1;1;1;1;0;0;0
1840;1;1;1;1;1;0;0;0
1841;1;1;1;1;1;0;0;0
1842;1;1;1;1;1;0;0;0
1843;1;1;1;1;1;0;0;0
1844;1;1;1;1;1;0;0;0
1845;1;1;1;1;1;0;0;0
1846;1;1;1;1;1;0;0;0
1847;1;1;1;1;1;0;0;0
1848;1;1;1;1;1;0;0;0
1849;1;1;1;1;1;0;0;0
1850;1;1;1;1;1;0;0;0
1851;1;1;1;1;1;0;0;0
1852;1;1;1;1;1;0;0;0
1853;1;1;1;1;1;0;0;0
1854;1;1;1;1;1;0;0;0
1855;1;1;1;1;1;0;0;0
1856;1;1;1;1;1;0;0;0
1857;1;1;1;1;1;0;0;0
1858;1;1;1;1;1;0;0;0
1859;1;1;1;1;1;0;0;0
1860;1;1;1;1;1;0;0;0
1861;1;1;1;1;1;0;0;0
1862;1;1;1;1;1;2;0;0
1863;1;1;1;1;1;2;0;0
1864;1;1;1;1;1;2;0;0
1865;1;1;1;1;1;2;0;0
1866;1;1;1;1;1;2;0;0
1867;1;1;1;1;1;2;0;0
1868;1;1;1;1;1;2;0;0
1869;1;1;1;1;1;2;0;0
1870;1;1;1;1;1;2;0;0
1871;1;1;1;1;1;2;0;0
1872;1;1;1;1;1;2;0;0
1873;1;1;1;1;1;2;0;0
1874;1;1;1;1;1;2;0;0
1875;1;1;1;1;1;2;0;0
