route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
11,2,"11","PIĄTKOWSKA - STAROŁĘKA|STAROŁĘKA - PIĄTKOWSKA","PIĄTKOWSKA - Bronowa - Witosa - os. Winiary - Winiarska - Wołyńska - Małopolska - al. Wielkopolska - Pułaskiego - Roosevelta - Głogowska - Hetmańska - Starołęcka - STAROŁĘKA^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|STAROŁĘKA - Hetmańska - Głogowska - Roosevelta - Pułaskiego - al. Wielkopolska - Małopolska - Wołyńska - Winiarska - os. Winiary - Witosa - Bronowa - PIĄTKOWSKA^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,3CDBC0,000000
12,2,"12","STAROŁĘKA - OS. SOBIESKIEGO|OS. SOBIESKIEGO - STAROŁĘKA","STAROŁĘKA - Starołęcka - Zamenhofa - Krzywoustego - Królowej Jadwigi - Matyi - Głogowska - trasa PST - OS. SOBIESKIEGO^$ - nie kursuje w dniach: 1.11, 10.11, 11.11, 22.12, 25.12, 26.12, 29.12.2019r.  oraz 1.01, 5.01, 6.01, 12.04, 13.04, 1.05, 11.06.2020r.^F - zjazd do zajezdni Franowo przez przystanek: Rondo Rataje, Kórnicka, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Poznań Główny, Dworzec Zachdni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^q - kurs tylko w poniedziałek|OS. SOBIESKIEGO - Głogowska - Matyi - Królowej Jadwigi - Krzywoustego - Zamenhofa - Starołęcka - STAROŁĘKA^$ - nie kursuje w dniach: 1.11, 10.11, 11.11, 22.12, 25.12, 26.12, 29.12.2019r.  oraz 1.01, 5.01, 6.01, 12.04, 13.04, 1.05, 11.06.2020r.^F - zjazd do zajezdni Franowo przez przystanek:  Dworzec Zachodni, Rondo Rataje^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^q - kurs tylko w poniedziałek",0,CBA3D8,000000
13,2,"13","JUNIKOWO - STAROŁĘKA|STAROŁĘKA - JUNIKOWO","JUNIKOWO - Grunwaldzka - Bukowska - Święty Marcin - al. Marcinkowskiego - Podgórna - Zielona - Mostowa - Kórnicka - Jana Pawła II - Zamenhofa - Starołęcka - STAROŁĘKA^G - zjazd do zajezdni Głogowska przez przystanek: Bałtyk, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|STAROŁĘKA - Zamenhofa - Jana Pawła II - Kórnicka - Mostowa - Zielona - Podgórna - al. Marcinkowskiego - pl. Wolności - Gwarna - Święty Marcin - Bukowska - Grunwaldzka - JUNIKOWO^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,AD841F,FFFFFF
14,2,"14","OS. SOBIESKIEGO - GÓRCZYN|GÓRCZYN - OS. SOBIESKIEGO","OS. SOBIESKIEGO - trasa PST - Głogowska - GÓRCZYN^F - zjazd do zajezdni Franowo przez przystanek: Głogowska/Hetmańska, Rondo Starołęk a, Rondo Żegrze, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|GÓRCZYN - trasa PST - OS. SOBIESKIEGO^F - zjazd do zajezdni Franowo przez przystanek: Dworzec Zachodni, Rondo Rataje^G - zjazd do zajezdni Głogowska^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,946037,FFFFFF
15,2,"15","BUDZISZYŃSKA - OS. SOBIESKIEGO|OS. SOBIESKIEGO - BUDZISZYŃSKA","BUDZISZYŃSKA - Grunwaldzka - Bukowska - Roosevelta - trasa PST - OS. SOBIESKIEGO^F - zjazd do zajezdni Franowo przez przystanek: Bałtyk, Marcinkowskiego, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Bałtyk, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OS. SOBIESKIEGO - Roosevelta - Bukowska - Grunwaldzka - BUDZISZYŃSKA^F - zjazd do zajezdni Franowo przez przystanek: Rondo Kaponiera, Politechnika^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Most Dworcowy^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,A2AAAD,000000
16,2,"16","FRANOWO - OS. SOBIESKIEGO|OS. SOBIESKIEGO - FRANOWO","FRANOWO - Szwajcarska - Piaśnicka - Trasa Kórnicka - Kórnicka - Mostowa - Zielona - Podgórna - al. Marcinkowskiego - pl. Wolności - Fredry - Roosevelta - trasa PST - OS. SOBIESKIEGO^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^p - kurs tylko w piątek^q - kurs tylko w poniedziałek|OS. SOBIESKIEGO - Fredry - Gwarna - Święty Marcin - al. Marcinkowskiego - Podgórna - Zielona - Mostowa - Kórnicka - Trasa Kórnicka - Piaśnicka - Szwajcarska - FRANOWO^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Most Dworcowy^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^p - kurs tylko w piątek^q - kurs tylko w poniedziałek",0,440099,FFFFFF
17,2,"17","STAROŁĘKA - OGRODY|OGRODY - STAROŁĘKA","STAROŁĘKA - Starołęcka - Hetmańska - Żegrze - Chartowo - Trasa Kórnicka - Jana Pawła II - Wyszyńskiego - Małe Garbary - pl. Wielkopolski - pl. Ratajskiego - Fredry - Dąbrowskiego - OGRODY^F - zjazd do zajezdni Franowo przez przystanek: Rondo Żegrze, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Os. Lecha, Rondo Śródka, Most Tea tralny^H - zjazd do zajezdni Głogowska przez przystanek: Rondo Starołęka, Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OGRODY - Fredry - pl. Ratajskiego - pl. Wielkopolski - Małe Garbary - Wyszyńskiego - Jana Pawła II - Trasa Kórnicka - Chartowo - Żegrze - Hetmańska - Starołęcka - STAROŁĘKA^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,004F71,FFFFFF
18,2,"18","FRANOWO - OGRODY|OGRODY - FRANOWO","FRANOWO - Szwajcarska - Piaśnicka - Trasa Kórnicka - Jana Pawła II - Krzywoustego - Królowej Jadwigi - Matyi - Roosevelta - Dąbrowskiego - OGRODY^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OGRODY - Roosevelta - Matyi - Królowej Jadwigi - Krzywoustego - Jana Pawła II - Trasa Kórnicka - Piaśnicka - Szwajcarska - FRANOWO^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Kaponiera, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,FEDB00,000000
121,2,"121","MEISSNERA - OGRODY|OGRODY - MEISSNERA","MEISSNERA - Meissnera - Nowina - Szpitalna - OGRODY|OGRODY - Nowina - Meissnera - MEISSNERA",3,525252,FFFFFF
144,2,"144","KURPIŃSKIEGO - BORANTA|BORANTA - KURPIŃSKIEGO","KURPIŃSKIEGO - Księcia Mieszka I - Wiechowicza - Stoińskiego - Łużycka - Naramowicka - Boranta - BORANTA|BORANTA - Naramowicka - Łużycka - Stoińskiego - Wiechowicza - Księcia Mieszka I - KURPIŃSKIEGO",3,525252,FFFFFF
145,2,"145","DWORZEC ZACHODNI - KACZA|KACZA - DWORZEC ZACHODNI","DWORZEC ZACHODNI - Zachodnia - Berwińskiego - Wyspiańskiego - Przybyszewskiego - Marcelińska - Bułgarska - Jugosłowiańska - Promienista - Mrągowska - Kacza - KACZA|KACZA - Mrągowska - Promienista - Jugosłowiańska - Bułgarska - Marcelińska - Reymonta - Wyspiańskiego - Zachodnia - DWORZEC ZACHODNI",3,525252,FFFFFF
146,2,"146","STRZESZYN - BORANTA|BORANTA - STRZESZYN","STRZESZYN - Biskupińska - Strzeszyńska - Szarych Szeregów - Obornicka - Mateckiego - Stróżyńskiego - Szymanowskiego - Opieńskiego - Umultowska - Stoińskiego - Łużycka - Naramowicka - Boranta - BORANTA^L - kurs skrócony do przystanku: Os. Łokietka I|BORANTA - Naramowicka - Łużycka - Stoińskiego - Umultowska - Opieńskiego - Szymanowskiego - Stróżyńskiego - Mateckiego - Obornicka - Szarych Szeregów - Strzeszyńska - Biskupińska - STRZESZYN",3,525252,FFFFFF
147,2,"147","WIELKA - BORANTA|BORANTA - MAŁE GARBARY","WIELKA - Garbary - Szelągowska - Naramowicka - Boranta - BORANTA|BORANTA - Naramowicka - Szelągowska - Garbary - Estkowskiego - MAŁE GARBARY",3,525252,FFFFFF
148,2,"148","ŁAWICA - RONDO KAPONIERA|RONDO KAPONIERA - ŁAWICA","ŁAWICA - Złotowska - Brzechwy - Strzegomska - Marcelińska - Bułgarska - Bukowska - Zwierzyniecka - RONDO KAPONIERA|RONDO KAPONIERA - Bukowska - Bułgarska - Marcelińska - Strzegomska - Brzechwy - Bukowska - Perzycka - Złotowska - ŁAWICA",3,525252,FFFFFF
149,2,"149","GÓRCZYN - DĘBIEC|DĘBIEC - GÓRCZYN","GÓRCZYN - Zgoda - Głogowska - Ostatnia - Bohaterów Westerplatte - Kołłątaja - Opolska - Jesionowa - Górecka - Czechosłowacka - Łozowa - 28 Czerwca 1956 r. - DĘBIEC|DĘBIEC - Łozowa - Czechosłowacka - Górecka - Jesionowa - Opolska - Kołłątaja - Bohaterów Westerplatte - Ostatnia - Głogowska - Zgoda - GÓRCZYN",3,525252,FFFFFF
150,2,"150","OGRODY - GÓRCZYN|GÓRCZYN - OGRODY","OGRODY - Szpitalna - Bukowska - Kolorowa - Bułgarska - Grunwaldzka - Jawornicka - Promienista - Ściegiennego - Zgoda - GÓRCZYN|GÓRCZYN - Ściegiennego - Promienista - Jawornicka - Grunwaldzka - Bułgarska - Bukowska - Szpitalna - OGRODY",3,525252,FFFFFF
151,2,"151","POZNAŃ GŁÓWNY - OS. SOBIESKIEGO|OS. SOBIESKIEGO - POZNAŃ GŁÓWNY","POZNAŃ GŁÓWNY - Wolne Tory - Towarowa - Składowa - al. Niepodległości - Solna - Garbary - Szelągowska - Naramowicka - Łużycka - Stoińskiego - Wiechowicza - Kurpińskiego - Jaroczyńskiego - Stróżyńskiego - Szymanowskiego - Szeligowskiego - Stróżyńskiego - OS. SOBIESKIEGO^M - Kurs skrócony do przystanku: Małe Garbary|OS. SOBIESKIEGO - Szeligowskiego - Szymanowskiego - Stróżyńskiego - Jaroczyńskiego - Kurpińskiego - Wiechowicza - Stoińskiego - Łużycka - Naramowicka - Szelągowska - Garbary - Małe Garbary - Solna - al. Niepodległości - Towarowa - Al. Króla Przemysła II - Wolne Tory - POZNAŃ GŁÓWNY^M - Kurs skrócony do przystanku: Małe Garbary",3,525252,FFFFFF
152,2,"152","DARZYBÓR - RONDO RATAJE|RONDO RATAJE - DARZYBÓR","DARZYBÓR - Borówki - Kobylepole - Piwna - Abpa Dymka - Szwajcarska - Kurlandzka - Inflancka - Piłsudskiego - Krzywoustego - RONDO RATAJE|RONDO RATAJE - Jana Pawła II - Piłsudskiego - Inflancka - Kurlandzka - Szwajcarska - Abpa Dymka - Piwna - Kobylepole - Borówki - DARZYBÓR",3,525252,FFFFFF
